FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
37,BC,1951-R00132, ,57.759999999999998,-131.566000000000000,1951,9,2,1951-09-02 00:00:00,,,1950-1959,8.400000000000000,H, ,Fire, ,BC-1951-1951-R00132, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
38,BC,1952-R00052, ,57.625999999999998,-131.729000000000010,1952,6,24,1952-06-24 00:00:00,,,1950-1959,2201.400000000000100,H, ,Fire, ,BC-1952-1952-R00052, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
39,BC,1950-R00027, ,58.433999999999997,-130.062000000000010,1950,6,22,1950-06-22 00:00:00,,,1950-1959,12.100000000000000,L, ,Fire, ,BC-1950-1950-R00027, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
40,BC,1951-R00038, ,58.183999999999997,-130.729000000000010,1951,5,15,1951-05-15 00:00:00,,,1950-1959,12949.900000000000000,H, ,Fire, ,BC-1951-1951-R00038, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
41,BC,1952-R00040, ,57.905000000000001,-131.066000000000000,1952,4,1,1952-04-01 00:00:00,,,1950-1959,9761.000000000000000,H, ,Fire, ,BC-1952-1952-R00040, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
42,BC,1952-R00069, ,58.789000000000001,-131.979000000000010,1952,8,1,1952-08-01 00:00:00,,,1950-1959,1.200000000000000,H, ,Fire, ,BC-1952-1952-R00069, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
43,BC,1953-R00036, ,57.933999999999997,-131.175000000000010,1953,7,25,1953-07-25 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1953-1953-R00036, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
44,BC,1953-R00041, ,57.905000000000001,-131.175000000000010,1953,8,13,1953-08-13 00:00:00,,,1950-1959,0.200000000000000,H, ,Fire, ,BC-1953-1953-R00041, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
45,BC,1951-R00062, ,58.491999999999997,-129.479000000000010,1951,7,6,1951-07-06 00:00:00,,,1950-1959,18.199999999999999,H, ,Fire, ,BC-1951-1951-R00062, , ,2020-05-05 00:00:00,BC,12,12,Boreal Cordillera,CordillCre boreale
46,BC,1950-G00113, ,56.789000000000001,-122.069999999999990,1950,7,29,1950-07-29 00:00:00,,,1950-1959,99767.297000000006000,H, ,Fire, ,BC-1950-1950-G00113, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
47,BC,1950-G00117, ,56.759999999999998,-121.267000000000000,1950,7,31,1950-07-31 00:00:00,,,1950-1959,57.799999999999997,H, ,Fire, ,BC-1950-1950-G00117, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
48,BC,1950-G00118, ,56.713000000000001,-121.819999999999990,1950,7,29,1950-07-29 00:00:00,,,1950-1959,1035.900000000000100,H, ,Fire, ,BC-1950-1950-G00118, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
49,BC,1950-G00133, ,56.789000000000001,-121.319999999999990,1950,8,26,1950-08-26 00:00:00,,,1950-1959,76663.702999999994000,H, ,Fire, ,BC-1950-1950-G00133, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
50,BC,1950-G00001, ,56.905000000000001,-122.017000000000000,1950,4,22,1950-04-22 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1950-1950-G00001, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
51,BC,1950-G00014, ,56.567999999999998,-120.980000000000000,1950,5,23,1950-05-23 00:00:00,,,1950-1959,256.899999999999980,H, ,Fire, ,BC-1950-1950-G00014, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
52,BC,1950-G00015, ,56.567999999999998,-120.980000000000000,1950,5,24,1950-05-24 00:00:00,,,1950-1959,14.500000000000000,H, ,Fire, ,BC-1950-1950-G00015, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
53,BC,1950-G00019, ,56.567999999999998,-120.927000000000010,1950,6,1,1950-06-01 00:00:00,,,1950-1959,76922.702999999994000,H, ,Fire, ,BC-1950-1950-G00019, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
54,BC,1950-G00027, ,56.491999999999997,-121.124000000000000,1950,6,7,1950-06-07 00:00:00,,,1950-1959,781.000000000000000,H, ,Fire, ,BC-1950-1950-G00027, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
55,BC,1950-G00033, ,56.375999999999998,-120.980000000000000,1950,6,12,1950-06-12 00:00:00,,,1950-1959,1902.000000000000000,H, ,Fire, ,BC-1950-1950-G00033, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
56,BC,1950-G00045, ,56.625999999999998,-121.230000000000000,1950,6,17,1950-06-17 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1950-1950-G00045, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
57,BC,1950-G00062, ,56.463000000000001,-121.177000000000010,1950,6,13,1950-06-13 00:00:00,,,1950-1959,0.100000000000000,L, ,Fire, ,BC-1950-1950-G00062, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
58,BC,1952-G00009, ,56.789000000000001,-121.980000000000000,1952,5,1,1952-05-01 00:00:00,,,1950-1959,1.200000000000000,H, ,Fire, ,BC-1952-1952-G00009, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
59,BC,1952-G00014, ,56.741999999999997,-122.374000000000000,1952,5,5,1952-05-05 00:00:00,,,1950-1959,4.000000000000000,H, ,Fire, ,BC-1952-1952-G00014, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
60,BC,1952-G00015, ,56.539000000000001,-122.427000000000010,1952,5,5,1952-05-05 00:00:00,,,1950-1959,21.800000000000001,H, ,Fire, ,BC-1952-1952-G00015, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
61,BC,1952-G00031, ,56.567999999999998,-121.427000000000010,1952,5,31,1952-05-31 00:00:00,,,1950-1959,0.800000000000000,H, ,Fire, ,BC-1952-1952-G00031, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
62,BC,1952-G00086, ,56.347000000000001,-121.069999999999990,1952,5,28,1952-05-28 00:00:00,,,1950-1959,97.099999999999994,H, ,Fire, ,BC-1952-1952-G00086, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
63,BC,1952-G00210, ,56.713000000000001,-121.819999999999990,1952,8,17,1952-08-17 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1952-1952-G00210, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
64,BC,1952-G00221, ,56.317999999999998,-121.017000000000000,1952,10,5,1952-10-05 00:00:00,,,1950-1959,4.000000000000000,H, ,Fire, ,BC-1952-1952-G00221, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
