x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-80.41666666666667,43.65,,0.9,2016,2016-06-06 00:00:00,,,ELORA RCS,6142286.2016.6.6,,,22.9,17.1,6,61,11.3,6142286,,,,,,32,M,8,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,6.6,2016,2016-06-07 00:00:00,,,ELORA RCS,6142286.2016.6.7,,,15,11.4,7,46,7.7,6142286,,,,,,29,M,1.6,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,9.4,2016,2016-06-08 00:00:00,,,ELORA RCS,6142286.2016.6.8,,,12.2,8.6,8,52,4.9,6142286,,,,,,31,M,3.1,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,6.6,2016,2016-06-09 00:00:00,,,ELORA RCS,6142286.2016.6.9,,,18.2,11.4,9,44,4.5,6142286,,,,,,28,M,0.6,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,4.8,2016,2016-06-10 00:00:00,,,ELORA RCS,6142286.2016.6.10,,,22.6,13.2,10,0,3.7,6142286,,,,,,0,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,0,2016,2016-06-11 00:00:00,,,ELORA RCS,6142286.2016.6.11,,,29.3,21.6,11,50,13.9,6142286,,,,,,30,M,1.8,,,ON,,,M,3.6,,6,
-80.41666666666667,43.65,,4.6,2016,2016-06-12 00:00:00,,,ELORA RCS,6142286.2016.6.12,,,17.4,13.4,12,50,9.4,6142286,,,,,,32,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,6.1,2016,2016-06-13 00:00:00,,,ELORA RCS,6142286.2016.6.13,,,16.8,11.9,13,32,7,6142286,,,,,,31,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,3.1,2016,2016-06-14 00:00:00,,,ELORA RCS,6142286.2016.6.14,,,22.8,14.9,14,0,6.9,6142286,,,,,,0,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,1.3,2016,2016-06-15 00:00:00,,,ELORA RCS,6142286.2016.6.15,,,23.5,16.7,15,0,9.8,6142286,,,,,,0,M,1.5,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,0,2016,2016-06-16 00:00:00,,,ELORA RCS,6142286.2016.6.16,,,24.1,18.9,16,56,13.6,6142286,,,,,,9,M,1.3,,,ON,,,M,0.9,,6,
-80.41666666666667,43.65,,0,2016,2016-06-17 00:00:00,,,ELORA RCS,6142286.2016.6.17,,,28.9,20.2,17,35,11.4,6142286,,,,,,4,M,0,,,ON,,,M,2.2,,6,
-80.41666666666667,43.65,,0,2016,2016-06-18 00:00:00,,,ELORA RCS,6142286.2016.6.18,,,29.5,19.9,18,0,10.2,6142286,,,,,,0,M,0,,,ON,,,M,1.9,,6,
-80.41666666666667,43.65,,0,2016,2016-06-19 00:00:00,,,ELORA RCS,6142286.2016.6.19,,,30.7,21.3,19,33,11.9,6142286,,,,,,23,M,0,,,ON,,,M,3.3,,6,
-80.41666666666667,43.65,,0,2016,2016-06-20 00:00:00,,,ELORA RCS,6142286.2016.6.20,,,30.9,22.3,20,63,13.7,6142286,,,,,,28,M,2.4,,,ON,,,M,4.3,,6,
-80.41666666666667,43.65,,1.4,2016,2016-06-21 00:00:00,,,ELORA RCS,6142286.2016.6.21,,,24.1,16.6,21,44,9,6142286,,,,,,29,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,1.8,2016,2016-06-22 00:00:00,,,ELORA RCS,6142286.2016.6.22,,,22.7,16.2,22,43,9.6,6142286,,,,,,29,M,1.7,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,2,2016,2016-06-23 00:00:00,,,ELORA RCS,6142286.2016.6.23,,,23.6,16,23,0,8.3,6142286,,,,,,0,M,0,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,0.8,2016,2016-06-24 00:00:00,,,ELORA RCS,6142286.2016.6.24,,,26.7,17.2,24,0,7.7,6142286,,,,,,0,M,0.9,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,,2016,2016-06-25 00:00:00,,,ELORA RCS,6142286.2016.6.25,E,M,28.9,,25,0,,6142286,M,,M,M,M,0,M,,,,ON,,,M,,,6,
-80.41666666666667,43.65,,0,2016,2016-06-26 00:00:00,,,ELORA RCS,6142286.2016.6.26,,,29.6,21.6,26,41,13.6,6142286,,,,,,21,M,8.4,,,ON,,,M,3.6,,6,
-80.41666666666667,43.65,,0,2016,2016-06-27 00:00:00,,,ELORA RCS,6142286.2016.6.27,,,29.5,22.3,27,48,15,6142286,,,,,,27,M,1.6,,,ON,,,M,4.3,,6,
-80.41666666666667,43.65,,,2016,2016-06-28 00:00:00,,,ELORA RCS,6142286.2016.6.28,M,M,,,28,0,13.2,6142286,M,,M,M,E,0,M,,,,ON,,,M,,,6,
